id,published,title,authors,paperId
http://arxiv.org/abs/2107.00712v1,2021-07-01T19:38:43Z,"Passing a Non-verbal Turing Test: Evaluating Gesture Animations
  Generated from Speech","['Manuel Rebol', 'Christian Gütl', 'Krzysztof Pietroszek']",arXiv:2107.00712
http://arxiv.org/abs/2106.15121v1,2021-06-29T07:03:56Z,Face Sketch Synthesis via Semantic-Driven Generative Adversarial Network,"['Xingqun Qi', 'Muyi Sun', 'Weining Wang', 'Xiaoxiao Dong', 'Qi Li', 'Caifeng Shan']",arXiv:2106.15121
http://arxiv.org/abs/2106.14843v1,2021-06-28T16:43:26Z,"CLIPDraw: Exploring Text-to-Drawing Synthesis through Language-Image
  Encoders","['Kevin Frans', 'L. B. Soros', 'Olaf Witkowski']",arXiv:2106.14843
http://arxiv.org/abs/2106.14313v1,2021-06-27T19:17:51Z,"AniVis: Generating Animated Transitions Between Statistical Charts with
  a Tree Model","['Wenchao Li', 'Yun Wang', 'He Huang', 'Weiwei Cui', 'Haidong Zhang', 'Huamin Qu', 'Dongmei Zhang']",arXiv:2106.14313
http://arxiv.org/abs/2106.15347v1,2021-06-27T07:18:09Z,DeepGD: A Deep Learning Framework for Graph Drawing Using GNN,"['Xiaoqi Wang', 'Kevin Yen', 'Yifan Hu', 'Han-Wei Shen']",arXiv:2106.15347
http://arxiv.org/abs/2106.12970v1,2021-06-24T12:39:48Z,RikoNet: A Novel Anime Recommendation Engine,"['Badal Soni', 'Debangan Thakuria', 'Nilutpal Nath', 'Navarun Das', 'Bhaskarananda Boro']",arXiv:2106.12970
http://arxiv.org/abs/2106.11841v1,2021-06-22T14:58:08Z,Domain-Smoothing Network for Zero-Shot Sketch-Based Image Retrieval,"['Zhipeng Wang', 'Hao Wang', 'Jiexi Yan', 'Aming Wu', 'Cheng Deng']",arXiv:2106.11841
http://arxiv.org/abs/2106.12445v1,2021-06-22T14:00:10Z,Fine-Tuning StyleGAN2 For Cartoon Face Generation,['Jihye Back'],arXiv:2106.12445
http://arxiv.org/abs/2106.10158v1,2021-06-18T14:50:27Z,Learning to Generate Code Sketches,"['Daya Guo', 'Alexey Svyatkovskiy', 'Jian Yin', 'Nan Duan', 'Marc Brockschmidt', 'Miltiadis Allamanis']",arXiv:2106.10158
http://arxiv.org/abs/2106.07490v1,2021-06-14T15:20:24Z,"Drawing Inspiration from Biological Dendrites to Empower Artificial
  Neural Networks","['Spyridon Chavlis', 'Panayiota Poirazi']",arXiv:2106.07490
http://arxiv.org/abs/2106.07192v1,2021-06-14T06:46:06Z,Automatic Document Sketching: Generating Drafts from Analogous Texts,"['Zeqiu Wu', 'Michel Galley', 'Chris Brockett', 'Yizhe Zhang', 'Bill Dolan']",arXiv:2106.07192
http://arxiv.org/abs/2106.04486v1,2021-06-08T16:10:36Z,Sketch-Based Streaming Anomaly Detection in Dynamic Graphs,"['Siddharth Bhatia', 'Mohit Wadhwa', 'Philip S. Yu', 'Bryan Hooi']",arXiv:2106.04486
http://arxiv.org/abs/2106.02711v1,2021-06-04T20:45:03Z,SketchGen: Generating Constrained CAD Sketches,"['Wamiq Reyaz Para', 'Shariq Farooq Bhat', 'Paul Guerrero', 'Tom Kelly', 'Niloy Mitra', 'Leonidas Guibas', 'Peter Wonka']",arXiv:2106.02711
http://arxiv.org/abs/2106.02067v1,2021-06-03T18:17:55Z,Learning to Draw: Emergent Communication through Sketching,"['Daniela Mihai', 'Jonathon Hare']",arXiv:2106.02067
http://arxiv.org/abs/2105.14778v1,2021-05-31T08:18:13Z,"Sketch and Refine: Towards Faithful and Informative Table-to-Text
  Generation","['Peng Wang', 'Junyang Lin', 'An Yang', 'Chang Zhou', 'Yichang Zhang', 'Jingren Zhou', 'Hongxia Yang']",arXiv:2105.14778
http://arxiv.org/abs/2105.10131v1,2021-05-21T04:57:43Z,"Visual representation of negation: Real world data analysis on comic
  image design","['Yuri Sato', 'Koji Mineshima', 'Kazuhiro Ueda']",arXiv:2105.10131
http://arxiv.org/abs/2105.09374v1,2021-05-19T19:39:58Z,Endless Loops: Detecting and Animating Periodic Patterns in Still Images,"['Tavi Halperin', 'Hanit Hakim', 'Orestis Vantzos', 'Gershon Hochman', 'Netai Benaim', 'Lior Sassy', 'Michael Kupchik', 'Ofir Bibi', 'Ohad Fried']",arXiv:2105.09374
http://arxiv.org/abs/2105.08237v1,2021-05-18T02:38:22Z,Towards Unsupervised Sketch-based Image Retrieval,"['Conghui Hu', 'Yongxin Yang', 'Yunpeng Li', 'Timothy M. Hospedales', 'Yi-Zhe Song']",arXiv:2105.08237
http://arxiv.org/abs/2105.06992v1,2021-05-14T17:56:59Z,Generalized LR-drawings of trees,"['Therese Biedl', 'Giuseppe Liotta', 'Jayson Lynch', 'Fabrizio Montecchiani']",arXiv:2105.06992
http://arxiv.org/abs/2105.06920v1,2021-05-14T16:09:38Z,Surface Detection for Sketched Single Photon Lidar,"['Michael P. Sheehan', 'Julián Tachella', 'Mike E. Davies']",arXiv:2105.06920
http://arxiv.org/abs/2105.06033v1,2021-05-13T01:45:45Z,Extreme Face Inpainting with Sketch-Guided Conditional GAN,"['Nilesh Pandey', 'Andreas Savakis']",arXiv:2105.06033
http://arxiv.org/abs/2105.05879v1,2021-05-12T18:14:33Z,"Sketching with Kerdock's crayons: Fast sparsifying transforms for
  arbitrary linear maps","['Tim Fuchs', 'David Gross', 'Felix Krahmer', 'Richard Kueng', 'Dustin G. Mixon']",arXiv:2105.05879
http://arxiv.org/abs/2105.04242v1,2021-05-10T10:14:32Z,T-EMDE: Sketching-based global similarity for cross-modal retrieval,"['Barbara Rychalska', 'Mikolaj Wieczorek', 'Jacek Dabrowski']",arXiv:2105.04242
http://arxiv.org/abs/2105.02139v1,2021-05-05T15:44:20Z,"Mixing Modalities of 3D Sketching and Speech for Interactive Model
  Retrieval in Virtual Reality","['Daniele Giunchi', 'Alejandro Sztrajman', 'Stuart James', 'Anthony Steed']",arXiv:2105.02139
http://arxiv.org/abs/2105.01147v1,2021-05-03T20:01:54Z,"Sketches image analysis: Web image search engine usingLSH index and DNN
  InceptionV3","['Alessio Schiavo', 'Filippo Minutella', 'Mattia Daole', 'Marsha Gomez Gomez']",arXiv:2105.01147
http://arxiv.org/abs/2104.11554v1,2021-04-23T12:30:22Z,Sketch-based Normal Map Generation with Geometric Sampling,"['Yi He', 'Haoran Xie', 'Chao Zhang', 'Xi Yang', 'Kazunori Miyata']",arXiv:2104.11554
http://arxiv.org/abs/2104.11130v1,2021-04-22T15:28:39Z,Sketch-QNet: A Quadruplet ConvNet for Color Sketch-based Image Retrieval,"['Anibal Fuentes', 'Jose M. Saavedra']",arXiv:2104.11130
http://arxiv.org/abs/2104.10278v1,2021-04-20T22:48:19Z,Compact and Effective Representations for Sketch-based Image Retrieval,"['Pablo Torres', 'Jose M. Saavedra']",arXiv:2104.10278
http://arxiv.org/abs/2104.10061v1,2021-04-20T15:37:59Z,"Asymmetric compressive learning guarantees with applications to
  quantized sketches","['Vincent Schellekens', 'Laurent Jacques']",arXiv:2104.10061
http://arxiv.org/abs/2104.09918v1,2021-04-20T12:11:12Z,"CrossATNet - A Novel Cross-Attention Based Framework for Sketch-Based
  Image Retrieval","['Ushasi Chaudhuri', 'Biplab Banerjee', 'Avik Bhattacharya', 'Mihai Datcu']",arXiv:2104.09918
http://arxiv.org/abs/2104.09621v1,2021-04-19T20:38:36Z,Engineering Sketch Generation for Computer-Aided Design,"['Karl D. D. Willis', 'Pradeep Kumar Jayaraman', 'Joseph G. Lambourne', 'Hang Chu', 'Yewen Pu']",arXiv:2104.09621
